Queries ,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,3,30.0,-10.25
Query 2,6,60.0,0.05714285714285716
Query 3,1,10.0,0
Query 4,3,30.0,-19.25
Query 5,3,30.0,-9.5
Query 6,1,10.0,0
Query 7,2,20.0,-7.0
Query 8,2,20.0,-35.0
Query 9,4,40.0,-4.1
Query 10,1,10.0,0
Query 11,5,50.0,0.19999999999999996
Query 12,3,30.0,-1.25
Query 13,1,10.0,0
Query 14,3,30.0,-18.25
Query 15,2,20.0,-57.0
Query 16,7,70.0,0.3035714285714286
Query 17,5,50.0,-1.15
Query 18,0,0.0,0
Query 19,4,40.0,-4.9
Query 20,5,50.0,-0.3999999999999999
Query 21,3,30.0,-18.0
Query 22,0,0.0,0
Query 23,3,30.0,-11.5
Query 24,5,50.0,-0.7
Query 25,3,30.0,-10.25
Query 26,2,20.0,-3.0
Query 27,4,40.0,-5.6
Query 28,3,30.0,-15.25
Query 29,2,20.0,0.0
Query 30,1,10.0,0
Query 31,4,40.0,0.4
Query 32,6,60.0,-1.8857142857142857
Query 33,3,30.0,-6.5
Query 34,5,50.0,-2.9
Query 35,0,0.0,0
Query 36,1,10.0,0
Query 37,1,10.0,0
Query 38,1,10.0,0
Query 39,5,50.0,-2.65
Query 40,3,30.0,-1.0
Query 41,5,50.0,-1.2999999999999998
Query 42,4,40.0,-0.10000000000000009
Query 43,3,30.0,-21.25
Query 44,4,40.0,-2.9
Query 45,4,40.0,-10.0
Query 46,4,40.0,-0.19999999999999996
Query 47,3,30.0,-1.5
Query 48,4,40.0,-1.1
Query 49,5,50.0,-2.75
Query 50,6,60.0,-3.5999999999999996
Query 51,1,10.0,1
Query 52,5,50.0,-2.85
Query 53,8,80.0,0.27380952380952384
Query 54,5,50.0,-1.7999999999999998
Query 55,3,30.0,-7.75
Query 56,5,50.0,0.6
Query 57,4,40.0,-5.0
Query 58,3,30.0,-19.25
Query 59,2,20.0,-3.0
Query 60,1,10.0,0
Query 61,2,20.0,-25.0
Query 62,5,50.0,-1.5
Query 63,5,50.0,0.55
Query 64,6,60.0,-1.342857142857143
Query 65,6,60.0,-2.085714285714286
Query 66,2,20.0,-4.0
Query 67,5,50.0,-1.7999999999999998
Query 68,5,50.0,-3.55
Query 69,2,20.0,-16.0
Query 70,3,30.0,-5.75
Query 71,4,40.0,0.19999999999999996
Query 72,0,0.0,0
Query 73,0,0.0,0
Query 74,3,30.0,-1.25
Query 75,5,50.0,0.050000000000000044
Query 76,6,60.0,-3.9714285714285715
Query 77,5,50.0,-2.2
Query 78,1,10.0,0
Query 79,4,40.0,-11.9
Query 80,6,60.0,-1.4571428571428573
Query 81,2,20.0,-36.0
Query 82,4,40.0,-4.4
Query 83,2,20.0,-1.0
Query 84,1,10.0,1
Query 85,2,20.0,-25.0
Query 86,2,20.0,-8.0
Query 87,1,10.0,0
Query 88,3,30.0,-9.5
Query 89,3,30.0,-2.25
Query 90,5,50.0,-0.10000000000000009
Query 91,1,10.0,0
Query 92,3,30.0,-13.0
Query 93,4,40.0,-6.0
Query 94,5,50.0,-3.3
Query 95,7,70.0,-0.7142857142857142
Query 96,2,20.0,-8.0
Query 97,3,30.0,-15.0
Query 98,2,20.0,-25.0
Query 99,3,30.0,-15.25
Query 100,2,20.0,-19.0
Averages,3.27,32.7,-6.00322619047619
